"match_id","maximum_runs","player_name"
729290,13,"JP Faulkner"
729290,13,"DW Steyn"
729292,18,"JA Morkel"
729294,21,"M Morkel"
729296,27,"DS Kulkarni"
729298,16,"JD Unadkat"
729300,25,"A Mishra"
729302,19,"JP Faulkner"
729304,16,"MA Starc"
729306,21,"JD Unadkat"
729308,17,"Z Khan"
729310,12,"TG Southee"
729312,14,"SP Narine"
729314,17,"RG Sharma"
729316,20,"BW Hilfenhaus"
729318,20,"GJ Maxwell"
729322,27,"A Mishra"
733976,19,"BW Hilfenhaus"
733978,20,"AR Patel"
733978,20,"Z Khan"
733978,20,"KA Pollard"
733978,20,"MG Johnson"
733980,18,"KW Richardson"
733982,24,"DW Steyn"
733984,19,"R Vinay Kumar"
733986,18,"JD Unadkat"
733986,18,"MM Sharma"
733988,28,"P Suyal"
733990,17,"SP Narine"
733992,23,"MM Sharma"
733994,12,"JP Faulkner"
733996,26,"HV Patel"
733998,15,"MC Henriques"
734000,18,"IC Pandey"
734002,19,"MG Johnson"
734004,23,"AB Dinda"
734006,18,"KA Pollard"
734008,19,"V Shankar"
734010,27,"R Shukla"
734012,26,"Sandeep Sharma"
734012,26,"Sandeep Sharma"
734014,17,"PP Chawla"
734016,17,"S Kaul"
734016,17,"MK Tiwary"
734018,16,"S Badree"
734020,15,"A Mishra"
734022,18,"K Santokie"
734024,18,"BE Hendricks"
734026,19,"KV Sharma"
734026,19,"DJG Sammy"
734028,19,"PP Chawla"
734030,15,"Sandeep Sharma"
734032,24,"YS Chahal"
734034,24,"DW Steyn"
734036,18,"S Kaul"
734038,23,"JP Faulkner"
734040,22,"Yuvraj Singh"
734042,26,"DW Steyn"
734044,18,"JDS Neesham"
734046,19,"DS Kulkarni"
734046,19,"S Gopal"
734046,19,"JP Faulkner"
734048,21,"Shakib Al Hasan"
734050,20,"PP Ojha"
734052,33,"P Awana"
734054,20,"M Morkel"
829710,21,"UT Yadav"
829712,17,"DJ Bravo"
829714,20,"MG Johnson"
